Date,Z_Score,Signal,Position
2025-01-30 18:30:00+00:00,-1.257368633933549,1,1
2025-01-30 19:30:00+00:00,-1.3156105397309863,1,1
2025-01-30 20:30:00+00:00,-1.3106903073383809,1,1
2025-01-31 14:30:00+00:00,-1.4656312664979165,1,1
2025-01-31 15:30:00+00:00,-1.474469870164924,1,1
2025-01-31 16:30:00+00:00,-1.4135237540172285,1,1
2025-01-31 17:30:00+00:00,-1.4261353264174441,1,1
2025-01-31 18:30:00+00:00,-1.5432906417002819,1,1
2025-01-31 19:30:00+00:00,-1.5012837577608065,1,1
2025-01-31 20:30:00+00:00,-1.5543573153586776,1,1
2025-02-03 14:30:00+00:00,-1.5654761749202935,1,1
2025-02-03 15:30:00+00:00,-1.559948353173932,1,1
2025-02-03 16:30:00+00:00,-1.52718222510671,1,1
2025-02-03 17:30:00+00:00,-1.5270487338167347,1,1
2025-02-03 18:30:00+00:00,-1.522036351858055,1,1
2025-02-03 19:30:00+00:00,-1.628208152172214,1,1
2025-02-03 20:30:00+00:00,-1.5973034430200446,1,1
2025-02-04 14:30:00+00:00,-2.029686648509773,1,1
2025-02-04 15:30:00+00:00,-2.1714942874565812,1,1
2025-02-04 16:30:00+00:00,-2.137664834117599,1,1
2025-02-04 17:30:00+00:00,-2.136641573179473,1,1
2025-02-04 18:30:00+00:00,-2.1327692211215954,1,1
2025-02-04 19:30:00+00:00,-2.0974313967289864,1,1
2025-02-04 20:30:00+00:00,-2.0979436608196056,1,1
2025-02-05 14:30:00+00:00,-2.0098316835826098,1,1
2025-02-05 15:30:00+00:00,-1.9666918692467756,1,1
2025-02-05 16:30:00+00:00,-1.9630187979582256,1,1
2025-02-05 17:30:00+00:00,-1.905565518917206,1,1
2025-02-05 18:30:00+00:00,-1.8474259379390208,1,1
2025-02-05 19:30:00+00:00,-1.8920764665117098,1,1
2025-02-05 20:30:00+00:00,-1.8600045077618053,1,1
2025-02-06 14:30:00+00:00,-1.8732010995038726,1,1
2025-02-06 15:30:00+00:00,-1.9113158971553115,1,1
2025-02-06 16:30:00+00:00,-1.9607249448197495,1,1
2025-02-06 17:30:00+00:00,-1.8756916418872696,1,1
2025-02-06 18:30:00+00:00,-1.8060757066223865,1,1
2025-02-06 19:30:00+00:00,-1.8323964026816448,1,1
2025-02-06 20:30:00+00:00,-1.7887330198903792,1,1
2025-02-07 14:30:00+00:00,-1.7214289415136061,1,1
2025-02-07 15:30:00+00:00,-1.723393638227172,1,1
2025-02-07 16:30:00+00:00,-1.687922472503914,1,1
2025-02-07 17:30:00+00:00,-1.682767144310441,1,1
2025-02-07 18:30:00+00:00,-1.7028077630626492,1,1
2025-02-07 19:30:00+00:00,-1.6874758697698764,1,1
2025-02-07 20:30:00+00:00,-1.6480584717558646,1,1
2025-02-10 14:30:00+00:00,-1.5892982978454717,1,1
2025-02-10 15:30:00+00:00,-1.5829606732371142,1,1
2025-02-10 16:30:00+00:00,-1.616922008077737,1,1
2025-02-10 17:30:00+00:00,-1.618427143890019,1,1
2025-02-10 18:30:00+00:00,-1.6283369762764943,1,1
2025-02-10 19:30:00+00:00,-1.5661839299518452,1,1
2025-02-10 20:30:00+00:00,-1.4218351095695865,1,1
2025-02-11 14:30:00+00:00,-0.700755256502792,1,1
2025-02-11 15:30:00+00:00,-0.736002241580504,1,1
2025-02-11 16:30:00+00:00,-0.5767790721428588,0,1
2025-02-11 17:30:00+00:00,-0.5545933260263425,0,1
2025-02-11 18:30:00+00:00,-0.5168055380854493,0,1
2025-02-11 19:30:00+00:00,-0.44560516991124166,0,1
2025-02-11 20:30:00+00:00,-0.30672982301334867,0,1
2025-02-12 14:30:00+00:00,-0.18899432048655246,0,1
2025-02-12 15:30:00+00:00,-0.2633958537584648,0,1
2025-02-12 16:30:00+00:00,-0.2459020650331656,0,1
2025-02-12 17:30:00+00:00,-0.21330919118545663,0,1
2025-02-12 18:30:00+00:00,-0.20692850883041636,0,1
2025-02-12 19:30:00+00:00,-0.14975820931471207,0,1
2025-02-12 20:30:00+00:00,0.00525525296586845,0,1
2025-02-13 14:30:00+00:00,0.21098347210424107,0,1
2025-02-13 15:30:00+00:00,0.15124414250079526,0,1
2025-02-13 16:30:00+00:00,0.18195177191960943,0,1
2025-02-13 17:30:00+00:00,0.21060317597530748,0,1
2025-02-13 18:30:00+00:00,0.19298010234071739,0,1
2025-02-13 19:30:00+00:00,0.22420057385090617,0,1
2025-02-13 20:30:00+00:00,0.30324285401461804,0,1
2025-02-14 14:30:00+00:00,0.4586196818924173,0,1
2025-02-14 15:30:00+00:00,0.36365649843504655,0,1
2025-02-14 16:30:00+00:00,0.30702367742294523,0,1
2025-02-14 17:30:00+00:00,0.1712880844859824,0,1
2025-02-14 18:30:00+00:00,0.15735419450303978,0,1
2025-02-14 19:30:00+00:00,0.07469706899773479,0,1
2025-02-14 20:30:00+00:00,0.0437562446888725,0,1
2025-02-18 14:30:00+00:00,-0.06380004177852604,0,1
2025-02-18 15:30:00+00:00,0.04344759826855993,0,1
2025-02-18 16:30:00+00:00,0.10847888623661733,0,1
2025-02-18 17:30:00+00:00,0.1646496332296115,0,1
2025-02-18 18:30:00+00:00,0.13657929822024822,0,1
2025-02-18 19:30:00+00:00,0.0531332678764284,0,1
2025-02-18 20:30:00+00:00,0.1292296072103768,0,1
2025-02-19 14:30:00+00:00,0.33016022427230596,0,1
2025-02-19 15:30:00+00:00,0.4759062154303106,0,1
2025-02-19 16:30:00+00:00,0.36130240210334846,0,1
2025-02-19 17:30:00+00:00,0.4117410482246425,0,1
2025-02-19 18:30:00+00:00,0.4345102741076926,0,1
2025-02-19 19:30:00+00:00,0.488595422076301,0,1
2025-02-19 20:30:00+00:00,0.5546315746304737,0,1
2025-02-20 14:30:00+00:00,0.48629848212422283,0,1
2025-02-20 15:30:00+00:00,0.508197449973263,0,1
2025-02-20 16:30:00+00:00,0.5158447585369628,0,1
2025-02-20 17:30:00+00:00,0.5331287651739384,0,1
2025-02-20 18:30:00+00:00,0.609354227716662,0,1
2025-02-20 19:30:00+00:00,0.5803210030851602,0,1
2025-02-20 20:30:00+00:00,0.6728944081432479,0,1
2025-02-21 14:30:00+00:00,0.932431428094359,0,1
2025-02-21 15:30:00+00:00,1.2175409357821014,0,1
2025-02-21 16:30:00+00:00,1.1761914998280432,0,1
2025-02-21 17:30:00+00:00,1.2237228946044434,0,1
2025-02-21 18:30:00+00:00,1.3709955025802503,0,1
2025-02-21 19:30:00+00:00,1.3001538200613465,0,1
2025-02-21 20:30:00+00:00,1.298533884924791,0,1
2025-02-24 14:30:00+00:00,1.4470627668262483,-1,-1
2025-02-24 15:30:00+00:00,1.2001695638423242,0,-1
2025-02-24 16:30:00+00:00,1.05745993008789,0,-1
2025-02-24 17:30:00+00:00,1.06352811374208,0,-1
2025-02-24 18:30:00+00:00,0.9614262070391907,0,-1
2025-02-24 19:30:00+00:00,1.0591895310005883,-1,-1
2025-02-24 20:30:00+00:00,1.0428546086921902,-1,-1
2025-02-25 14:30:00+00:00,1.5636220149979354,-1,-1
2025-02-25 15:30:00+00:00,1.563184588971887,-1,-1
2025-02-25 16:30:00+00:00,1.5274687654593901,-1,-1
2025-02-25 17:30:00+00:00,1.3590387538943585,-1,-1
2025-02-25 18:30:00+00:00,1.2924776453770879,-1,-1
2025-02-25 19:30:00+00:00,1.3448240631781396,-1,-1
2025-02-25 20:30:00+00:00,1.4453932896051942,-1,-1
2025-02-26 14:30:00+00:00,1.0720611420915809,-1,-1
2025-02-26 15:30:00+00:00,1.0174917490209752,0,-1
2025-02-26 16:30:00+00:00,1.077807714785444,-1,-1
2025-02-26 17:30:00+00:00,1.0800583949401223,-1,-1
2025-02-26 18:30:00+00:00,1.134562456427941,-1,-1
2025-02-26 19:30:00+00:00,1.010581619913418,-1,-1
2025-02-26 20:30:00+00:00,1.0345613238845934,-1,-1
2025-02-27 14:30:00+00:00,1.2411320690811023,-1,-1
